name,sector,categories,tags,scope,date,resources,description,countries,actors
AI & Machine Learning Policy Paper,AI in general,Policy paper,Accountability; Transparency; Bias; Data quality; Human control; Interoperability; Explainability; Safety; Liability;,International - Global,4/1/2017 0:00,"<a target=""_blank"" href=""https://www.internetsociety.org/wp-content/uploads/2017/08/ISOC-AI-Policy-Paper_2017-04-27_0.pdf"">Internet Society AI / ML Policy Paper</a>","The Internet Society is a US-based non-profit founded in 1992, with offices around the world. Its founders are Vint Cerf and Bob Kahn, and the organisation’s mission is to support and promote the “development of the Internet as a global technical infrastructure, a resource to enrich people’s lives, and a force for good in society.”<br>This policy paper offers a brief introduction to AI for policymakers in order to help the decision-making process about AI and Internet regulation. It describes key factors for consideration to ensure people’s trust in the new technology. These are socio-economic impacts; transparency, bias and accountability; new uses for data that might threaten user privacy; security and safety, including harmful AI behaviours or malicious exploitation of systems; ethics; and the emergence of new ecosystems (applications, services, etc.) created by AI. <br>These factors contribute to a set of challenges that must be overcome. These include<br><br><li>Transparency and interpretability in decision making: corporate and governmental secrecy limits thorough understanding when it comes to AI, while the unknown internal decision logic based on advanced ML creates hardships and complications for programmers<br></li><br><li>Data quality and bias: one possible harm is making “bad” decisions based on the low or biased provided data, while the other is due to AI’s ability to identify new patterns or “re-identify anonymized information,” which could lead to a breach of the user’s fundamental rights, leading to profiling and discriminating<br></li><br><li>Safety and security: AI agents may cause harm based on their indifference to their acts, how they learn from their environment, and because their algorithms can be manipulated.<br></li><br><li>Accountability: when it comes to ML, algorithms and their reasonings may stay unknown for programmers, perpetuating biases with non-intentional impacts. It raises the question: who should be responsible for the unintentional consequences of the actions done by advanced ML? The current solution is not making programmers responsible for the consequences of machine learning in order to not impede and discourage future innovation. However, the question of responsibility should be clarified in the near future between programmers, operators, and manufacturers.<br></li><br><li>Social and economic impact: automatization will bring new jobs and a higher level of convenience for consumers, while it will also impact unskilled, low-paying labor just as much as it will hit high skilled jobs. A higher degree of structural unemployment should be expected together with a global impact on the division of labor.<br></li><br><li>Governance is still in its infancy.<br></li><br><br>The policy paper enlists 6 guiding principles for the deployment of AI in Internet services, which are meant to meet the challenges introduced above:<br><ol><br><li>AI system designers should adopt a user-centric approach and consider their collective responsibility. Industry and researchers should adopt ethical standards, and innovation policies should require adherence to ethical standards as a prerequisite for funding;<br></li><br><li>Human interpretability of algorithmic decisions must be ensured, especially for applications that might have harmful or discriminatory consequences. Users must be empowered to request explanations about AI-based decisions.<br></li><br><li>Public and consumer empowerment must be supported and algorithmic literacy must be a basic skill.<br></li><br><li>To ensure responsible deployment humans must be in control of autonomous AI systems, safety and privacy must be priorities and a policy of data minimisation should be followed. AI systems should not be trained with biased data. Vulnerabilities must be disclosed. Internet-connected AIs must be especially secure, and vulnerabilities should be disclosed.<br></li><br><li>There must be legal certainty on how existing laws and policies apply to algorithmic decision-making and legal accountability must be ensured when automated decision systems take over from humans. Governments need to create clarity on liability for when AI “goes wrong” and any applicable laws must take a user-centred approach, ensuring the ability to challenge AI-based decisions.<br></li><br><li>All stakeholders should engage in dialogue to “shape an environment where AI provides socio-economic opportunities for all.”<br></li><br><li>An open, multi-stakeholder approach to governance should be adopted, informed by the Internet Society’s relevant work on the <a target=""_blank"" href=""https://www.internetsociety.org/resources/doc/2016/internet-governance-why-the-multistakeholder-approach-works/"">topic</a>, and underpinned by the principles of <br><ol><br><li>Inclusiveness and transparency; <br></li><br><li>Collective responsibility; <br></li><br><li>Effective decision making and implementation and <br></li><br><li>Collaboration through distributed and interoperable governance<br></li><br></ol><br></li><br></ol>",Global,The Internet Society
"Finland's Age of Artificial Intelligence",AI in general,Strategy,,National,12/1/2017 0:00,"<a target=""_blank"" href=""http://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/160391/TEMrap_47_2017_verkkojulkaisu.pdf?sequence=1&isAllowed=y"">Finland’s Age of AI document</a><br><a target=""_blank"" href=""https://www.tekoalyaika.fi/en/"">AI Finland</a>","The working group on artificial intelligence was appointed by the Mika Lintila, the Minister of Economic Affairs and Employment in Finland in May 2017, to answer the question: “How can it be ensured that Finland becomes one of the frontrunners among the countries that apply AI?”<br>There are two main concerns: first, the working group was appointed in order to exploit the advantages that Finland has in automation and AI application compared to nine other nations, based on a previous McKinsey report. Second, to find the ways that could turn AI and automatization an engine of future economic growth for Finland. Hence, the paper foresees that within five years, AI application will be an everyday part of every Finnish citizens’ life and by 2030, the country can produce a 3% annual growth and an unemployment-level of 5% by the utilization of AI and automatization.<br>To make all this come true, 1) Finland should build research networks, since the vast majority of research is done outside its borders; 2) Finland should invest in the cooperation between companies and research institutes; 3) the Finnish corporate taxation should be attractive to investment; 4) Finland should find ways, how the currently available AI education and training applied at a high level at the sciences could be utilized at other fields of education; 5) in energy, healthcare, transport, and industry a “shar and ambitious innovation ecosystem” should be created, since Finland will utilize AI greatly within these fields; 6) ensuring an easy access to AI, robotics, and data platforms for companies of all sizes; 7) Finland should create a legal framework ensuring the availability of good quality of data for companies; 8) regulating the extensive collection and application of MyData; 9) setting up a data provider pilot based on the infrastructure provided by the national architecture for digital services; 10) Finland should spread for the business sector the expertise using the tools and the knowhow to access the computational capacity needed to use AI; 11) Finland should create open piloting and testing environments; 12) Finland must establish an international hub for artificial intelligence, together with a “virtual university” to attract top experts; 13) working age population must be given access to high quality education and AI literacy must be guaranteed for every citizen; 14) Finland should acquire top expertise in AI and in creating piloting environments in order to be made appealing for international experts; 15) Finland should create a “Master of AI” degree; 16) adequate investments and incentives should be made available in AI development; 17) applying AI in public administration by the set up of “Aurora,” providing digital service 24/7; 18) Finland should enhance the cooperation between the private and the public sectors. A public sector reform is needed; 19) Finland should actively influence the work of the EU Commission on its AI agenda setting",Finland,Department of Enterprise and Innovation at the Finnish Ministry of Economic Affairs and Employment
The National AI Strategy of the Federal Government of Germany,AI in general,Strategy,,National,11/1/2018 0:00,"<a target=""_blank"" href=""https://www.ki-strategie-deutschland.de/home.html"">German AI Strategy</a>","The Federal Government of Germany decided to turn the country into a world-leading nation regarding the application of AI and following the earlier publication of a set of key principles in July 2018, it launched a national AI strategy on the 15 of November. The strategy’s development was led by 3 ministries, Education and Research, Economic Affairs and Energy, and Labor and Social Affairs. It draws on expert meetings and public consultations, including a national online survey. <br>The strategy is also strongly influenced by the idea that AI will bring changes for the whole of mankind, therefore, solutions and policies should not be only national in scope. The overarching goal of making Germany a world leader is connected to strengthening the position of the European Union and cooperating internationally.<br>The strategy defines 3 overarching aims:<br><ol><br><li>To make Germany and Europe global leaders on the development and use of AI technologies and secure Germany's competitiveness in the future, <br></li><br><li>To safeguard the responsible development and use of AI which serves the good of society, and <br></li><br><li>To integrate AI in society in ethical, legal, cultural and institutional terms in the context of a broad societal dialogue and active political measures.<br></li><br></ol><br>The strategy goes on to identify 12 fields of action where the Federal Government will undertake measures: <br><ol><br><li>Strengthening research in Germany and in Europe<br></li><br><li>Innovation competitions and European innovation clusters<br></li><br><li>Supporting AI adoption by SMEs<br></li><br><li>Boosting startups<br></li><br><li>Restructuring the world of labour<br></li><br><li>Strengthening AI-related education<br></li><br><li>Use AI to improve government services<br></li><br><li>Making data available and facilitating its use<br></li><br><li>Adjusting the regulatory framework<br></li><br><li>Set technical and ethical standards<br></li><br><li>Amplify international cooperation<br></li><br><li>Conduct broad public engagement<br></li><br></ol><br>To make these goals come true, the Federal Government aims to spend €3 billion on its program by 2025 and €500 million in 2019.",Germany,Federal Government of Germany
Towards an AI Strategy in Mexico,AI in general,Strategy,,National,6/1/2018 0:00,"<a target=""_blank"" href=""https://docs.wixstatic.com/ugd/7be025_9c99aef6567442b09dbf38a1387b7d4a.pdf"">Towards an AI Strategy in Mexico: Harnessing the AI Revolution</a>","The white paper is a collection of proposals about the ways in which Mexico could exploit the advantages of AI development. The work was led by Oxford Insights & C Minds in partnership. Oxford Insights advises organisations on strategic, cultural and leadership opportunities from digital transformation. It specialises in artificial intelligence (AI), helping governments to craft AI strategies and publishing the annual Government AI Readiness Index. C Minds is an “impact innovation agency that designs and deploys strategies for economic and social development for developing countries.” The organization works with governments and international organizations in order to bring new technological advancements into developing countries. It has offices in San Francisco (HQ) and in Mexico City. <br><br>The Mexican Government was one of the collaborators in the work along with the British Embassy in Mexico, and the Prosperity Fund. The piece “makes the case for Mexico to invest in AI now,” and it delivers recommendations in five fields: <br><ol><br><li>governance, government, and public services,<br></li><br><li>research and development,<br></li><br><li>capacity, skills, and education, <br></li><br><li>data infrastructure, <br></li><br><li>ethics and regulation.<br></li><br></ol><br>A novelty of this document that it (briefly and concisely) goes through all the national AI strategies that have already been published, which is in line with the direct “call for action” of the authors: motivating the Mexican government to be among the first 10 nations to have prepared such a strategy. It also explains the need and the use of having such a strategy, while summarizing the current state of Mexico in the “AI revolution” through the description of outcomes of previous developments. The actual recommendations occupy 8 pages out of the 52 (pgs. 30-37)<br><ol><br><li>Governance, government, and public services<br>[ul]<br><li>“The government should appoint a national official” to lead on AI-related innovations and to guarantee a clear strategic direction</li><br><li>Ministries should attract experts in data science, algorithmic thinking, and machine learning</li><br><li>Creating a “formal and permanent AI Commission” that brings together the main actors of the private sphere to continuously work together with the public to secure the constitution and high quality of the national AI strategy. The should not only develop it but promote it as well.</li><br><li>The houses of legislation (Senate and Chamber of Deputies in the Congress) should create “working groups” on AI to guarantee the cooperation between the Executive and the Legislation.</li><br><li>The Mexican government should be a global leader in finding solution for universal challenges posed by the spread of AI technology, what it could ensure through its good positions in the various international organizations</li><br><li>Creating a “coalition of AI practitioners from all sectors and disciplines.” The group should develop an “AI Road Map,” based on “mutual sector responsibility.”</li><br>[/ul]<br></li><br><li>Research and development<br>[ul]<br><li>Creating a “National Center for AI Research.” The model should be the Turing Center in the UK. It should provide a space for “cross-disciplinary work.” It could also help Mexico to be better positioned on the global stage<br></li><br><li>Strengthening connections between academia and industry. Using the “Tec de Monterrey” model, bringing representatives from industries to the planning table of future educational programs. Funding startups and university attempts. University professors should be allowed to be employed in the private sphere as well.<br></li><br><li>Ensuring a business-friendly environment through certainty and confidence. Updating the Intellectual Property Rights framework. Securing a safe space for data to be exchanged, to guarantee collaboration between research and industry.<br></li><br><li>Create an AI government fund<br></li><br>[/ul]<br></li><br><li>Capacity, skill, and education<br>[ul]<br><li>Continued education should be applied instead of beginning to educate the population from a very early age. Civil servants should be trained. Creating and maintaining vocational courses<br></li><br><li>Non-technology and non-science related students should also learn about and understand AI.<br></li><br><li>Computational skills and coding should be part of primary education<br></li><br><li>Masters and PhDs in data science<br></li><br>[/ul]<br></li><br><li>Data infrastructure<br>[ul]<br><li>“The government should maintain and share core data services”<br></li><br><li>The future national AI centre should produce training data sets for Mexico<br></li><br><li>Protect personal privacy<br></li><br>[/ul]<br></li><br><li>Ethics and regulation<br>[ul]<br><li>Data should not fall outside the scope anti-competitive legislation.<br></li><br><li>Create a Mexican AI Ethics Council<br></li><br>[/ul]<br></li><br></ol>",Mexico,Mexican Government
New Generation of Artificial Intelligence Development Plan,AI in general,Strategy,,National,7/1/2017 0:00,"<a target=""_blank"" href=""https://www.newamerica.org/cybersecurity-initiative/blog/chinas-plan-lead-ai-purpose-prospects-and-problems/"">Translation of strategy</a>","The Chinese Government’s development plan has been translated into English by the experts at the New America think tank. The summary below is based on this translation.<br>The document describes artificial intelligence as a new focus of international competition and an engine of economic development that brings great opportunities for creating societal benefits. However, challenges are also acknowledged, such as economic security, social stability, personal privacy and even global governance. Therefore, a forward looking approach is required to minimise the risks and guarantee the controllable development of AI.<br>While some advances have been made in areas like intelligent manufacturing, the general state of AI development in China is judged to be lacking. However, the document affirms the ambition to seize this historical opportunity to lead the world in AI development. <br>Four basic principles are outlined.<br>Technology-led - achieve transformational breakthroughs in AI theory, methods, tools and systems;<br>Systematic layouts - use a systematic development strategy encompassing basic research, technology development, industrial development and application, building on the socialist system’s ability to undertake major efforts. <br>Market-dominant - follow the rules of the market and accelerate commercialisation. Leverage the government for planning, policy support, security, ethical guidelines and market regulation.<br>Open-source and open - promote open-source sharing in academia and industry. “promote two-way conversion and application for military and civilian scientific and technological achievements and co-construction and sharing of military and civilian innovation resources”<br>The strategic objectives are to be achieved in three steps. <br>[ul]<br><li>By 2020 China should have caught up with the other global players in overall AI theory, technology and application. First technology standards should also be established by that point, along with ethical norms, policies and regulations in some areas.</li><br><li>By 2025 China should achieve major breakthroughs in AI theory, resulting in world-leading innovations, making AI the main driving force of China’s economic transformation. AI laws and regulations will have been established, along with ethical norms and policy systems, AI security assessment and control systems.</li><br><li>By 2030 China should lead the world in AI theories, technologies and applications, and become the globe’s primary AI innovation centre. </li><br>[/ul]<br>Key elements of the deployment of this strategy are <br><ol><br><li>Creation of an open and cooperative AI tech innovation system, that strengthens China’s basic research capacity and allows for original theoretical contributions to AI;</li><br><li>Recognising the integration of technological and social systems, pursue parallel innovations in industrial and social policies;</li><br><li>Promote breakthrough in all 3 areas of theoretical research, technology development and industrial application, ensuring security and controllability;</li><br><li>“Fully support science and technology, the economy, social development, and national security” Leverage AI to become a global R&D power, create economic prosperity and implement people-centric development thinking.</li><br></ol><br>In addition to a strong focus on the science and technology base, the elaboration of which takes up the overwhelming majority of the document, legal, ethical and social issues also play an important role. <br>Research on legal, ethical, and social issues related to AI should be strengthened and laws, regulations and ethical frameworks established. Civil and criminal responsibility issues and the protection of privacy and property should be extensively researched, along with information security in AI. Traceability and accountability systems should be devised and in key areas safety management laws and regulations should be quickly formulated, to “lay a legal foundation for the rapid application of new technology.” <br>Research should also look at human-machine collaboration and an ethical framework for such should be devised.<br>An AI R&D and design code of ethical conduct should be developed and the assessment of the potential hazards and benefits of AI strengthened. China will also actively take part in global efforts aimed at AI governance and contribute to the resolution of common problems and global challenges.<br>Open data policies should be improved and related pilots undertaken to create value from public data. In addition, the Government will review several policy domains to effectively cope with social problems generated by AI.<br>The AI standards framework should be strengthened, building on the key principles of security, availability, interoperability, and traceability. Chinese enterprises should be encouraged to participate in such standard-setting activities internationally. At the same time IP protections in AI should be strengthened and a public pool of AI patents established to promote AI uptake.",China,Chinese State Council
Ethics in Autonomous and Artificial Intelligence Applications,AI in general,Standardisation,Standardisation;,International - Global,11/1/2018 0:00,"<a target=""_blank"" href=""https://www.iec.ch/dyn/www/f?p=103:186:5696200230312::::FSP_ORG_ID,FSP_LANG_ID:22827,"">SEG 10 -  Ethics in Autonomous and Artificial Intelligence Applications</a>","The International Electrotechnical Commission is the world’s leading organization that prepares and publishes International Standards for all electrical, electronic and related technologies.<br>At the October 2018 meeting of the Standardization Management Board set up Standardization Evaluation Group 10, ‘Ethics in Autonomous and Artificial Intelligence Applications’. SEG 10 will identify ethical issues and societal concerns related to IEC technical activities and develop guidelines on ethical aspects related to autonomous and/or AI applications. <br>The SEG was encouraged to ensure participation by JTC 1/SC 42 and to coordinate with the OCEANIS forum. It will be co-convened by China and Germany.",Global,International Electrotechnical Commission
Explainable Artificial Intelligence (XAI),AI in general,Research,Explainability,National,5/1/2017 0:00,"<a target=""_blank"" href=""https://www.darpa.mil/program/explainable-artificial-intelligence"">XAI Project</a>","[font=Arial, Verdana, sans-serif]DARPA is funding several programs aimed at developing XAI - a new machine learning process that is more understandable to humans. The effort is motivated by national security objectives. The aim is to “Produce more explainable models, while maintaining a high level of learning performance (prediction accuracy); and enable human users to understand, appropriately trust, and effectively manage the emerging generation of artificially intelligent partners.” Working on “a portfolio of methods that will provide future developers with a range of design options covering the performance-versus-explainability trade space.” “The XAI program is focused on the development of multiple systems by addressing challenge problems in two areas: (1) machine learning problems to classify events of interest in heterogeneous, multimedia data; and (2) machine learning problems to construct decision policies for an autonomous system to perform a variety of simulated missions. These two challenge problem areas were chosen to represent the intersection of two important machine learning approaches (classification and reinforcement learning) and two important operational problem areas for the DoD (intelligence analysis and autonomous systems).” At the end of the program, the final delivery will be a toolkit library consisting of machine learning and human-computer interface software modules that could be used to develop future explainable AI systems. After the program is complete, these toolkits would be available for further refinement and transition into defense or commercial applications.",USA,DARPA
Guidelines for Trials of Automated Vehicles,Autonomous mobility,Regulation,,National,5/1/2017 0:00,"<a href=""https://www.ntc.gov.au/codes-and-guidelines/automated-vehicle-trial-guidelines"" target=_blank>Guidelines for trials of automated vehicles in Australia</a>",,Australia,National Transport Commission
Austrian Action Programme on Automated Mobility 2019-2022,Autonomous mobility,Action programme,,National,11/1/2018 0:00,"<a target=""_blank"" href=""https://www.bmvit.gv.at/en/service/publications/downloads/action_automated_mobility_2019-2022_ua.pdf"">Austrian Action Programme on Automated Mobility 2019-2022</a><br><a target=""_blank"" href=""https://www.bmvit.gv.at/en/service/publications/downloads/action_automated_mobility_2019-2022_ua.pdf""><br></a>",,Austria,"Ministry for Transport, Innovation and Technology"
Driving Change - Technology and the Future of the automated vehicle,Autonomous mobility,Report,,National,1/1/2018 0:00,"<a target=""_blank"" href=""https://sencanada.ca/content/sen/committee/421/TRCM/Reports/COM_RPT_TRCM_AutomatedVehicles_e.pdf"">Driving Change - Technology and the Future of the automated vehicle</a>",,Canada,"Standing Senate Committee on Social Affairs, Science and Technology"
"Integrating Robotics, Artificial Intelligence and 3D Printing Technologies into Canada’s Healthcare Systems",Health,Report,,National,10/1/2017 0:00,"<a target=""_blank"" href=""https://sencanada.ca/content/sen/committee/421/SOCI/reports/RoboticsAI3DFinal_Web_e.pdf"">Integrating Robotics, Artificial Intelligence and 3D Printing Technologies into Canada’s Healthcare Systems</a>",,Canada,"Standing Senate Committee on Social Affairs, Science and Technology"
Bots at the Gate - Human Rights and ADS,Automated Decision Systems,Report,,National,9/1/2018 0:00,"<a target=""_blank"" href=""https://citizenlab.ca/wp-content/uploads/2018/09/IHRP-Automated-Systems-Report-Web-V2.pdf"">Bots at the Gate - Human Rights and ADS</a>",,Canada,University of Toronto
Digital Growth Strategy,AI in general,Strategy,,National,1/1/2018 0:00,"<a target=""_blank"" href=""https://eng.em.dk/media/10566/digital-growth-strategy-report_uk_web-2.pdf"">Digital Growth Strategy</a>",,Denmark,"Ministry of Industry, Business and Financial Aff airs"
Action Plan Against Disinformation,Disinformation,Action plan,,International - EU,12/1/2018 0:00,"<a target=""_blank"" href=""https://ec.europa.eu/commission/sites/beta-political/files/eu-communication-disinformation-euco-05122018_en.pdf"">Action Plan Against Disinformation</a>",,European Union,European Commission
Committee of experts on Human Rights Dimensions of automated data processing and different forms of AI (MSI-AUT),Automated Decision Systems,Advisory body,,International - EU,3/1/2018 0:00,"<a href=""https://www.coe.int/en/web/freedom-expression/msi-aut#{%2232639232%22:[1]}"" target=_blank>MSI-AUT Committee report on Human Right dimensions of AI</a>",,European Union,Council of Europe
High-Level Expert Group on AI,AI in general,Advisory body,,International - EU,6/1/2018 0:00,"<a target=""_blank"" href=""https://ec.europa.eu/digital-single-market/en/high-level-expert-group-artificial-intelligence"">High-Level Expert Group on AI</a>",,European Union,European Commission
AI4People Ethical Framework for a Good AI Society,AI in general,Ethics guidelines,,International - EU,10/1/2018 0:00,"<a target=""_blank"" href=""http://www.eismd.eu/wp-content/uploads/2018/11/Ethical-Framework-for-a-good-AI-Society.pdf"">AI4People Ethical Framework for a Good AI Society</a>",,European Union,Atomium
European Ethical Charter on the Use of Artificial Intelligence in Judicial Systems and their environment,Justice system,Ethics guidelines,,International - EU,12/1/2018 0:00,"<a target=""_blank"" href=""https://rm.coe.int/ethical-charter-en-for-publication-4-december-2018/16808f699c"">European Ethical Charter on the Use of Artificial Intelligence in Judicial Systems and their environment</a>",,European Union,Council of Europe - CEPEJ
Guidelines on Automated individual decision-making and Profiling for the purposes of Regulation 2016/679 (GDPR),Automated Decision Systems,Guidelines,,International - EU,2/1/2018 0:00,"<a target=""_blank"" href=""https://ec.europa.eu/newsroom/article29/item-detail.cfm?item_id=612053"">Guidelines on Automated individual decision-making and Profiling for the purposes of Regulation 2016/679</a>",,European Union,Article 29 Data Protection Working Party
Guidelines on AI and Machine Learning,AI in general,Guidelines,,International - EU,11/1/2018 0:00,"<a target=""_blank"" href=""https://www.epo.org/law-practice/legal-texts/html/guidelines2018/e/g_ii_3_3_1.htm"">Guidelines on AI and Machine Learning</a>",,European Union,European Patent Office
European AI Alliance,AI in general,Network,,International - EU,6/1/2018 0:00,"<a target=""_blank"" href=""https://ec.europa.eu/digital-single-market/en/european-ai-alliance"">European AI Alliance</a>",,European Union,European Commission
European Economic and Social Committee Opinion on AI,AI in general,Opinion ; Ethics guidelines,,International - EU,5/1/2017 0:00,"<a target=""_blank"" href=""https://www.eesc.europa.eu/en/our-work/opinions-information-reports/opinions/artificial-intelligence"">European Economic and Social Committee Opinion on AI</a>",,European Union,European Economic and Social Committee
Legal and ethical reflections concerning robotics,Robotics,Policy briefing,,International - EU,6/1/2016 0:00,"[url=http://www.europarl.europa.eu/RegData/etudes/STUD/2016/563501/EPRS_STU(2016)563501(ANN)_EN.pdf]Legal and ethical reflections concerning robotics<span style=""color: red""><span style=""color: red""><span style=""color: red""><span style=""color: red"">[/url]</span></span></span></span>",,European Union,Science and Technology Options Assessment Agency
EU regulation on automated vehicles,Autonomous mobility,Proposed regulation,,International - EU,5/1/2018 0:00,"<a target=""_blank"" href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52018PC0286"">EU regulation on automated vehicles</a><br><a target=""_blank"" href=""https://ec.europa.eu/jrc/sites/jrcsh/files/23112018-artificial_intelligence-lagrange_en.pdf"">European Commission presentation on the 3rd EU mobility package on autonomous vehicles</a>",,European Union,European Commission
General Data Protection Regulation (GDPR),Data protection,Regulation,,International - EU,5/1/2018 0:00,"<a target=""_blank"" href=""https://eur-lex.europa.eu/eli/reg/2016/679/oj"">General Data Protection Regulation (GDPR)</a><br><a target=""_blank"" href=""http://www2.datainnovation.org/2018-impact-gdpr-ai.pdf"">Center for Data Innovation - The Impact of the EU’s New Data Protection Regulation on AI</a>",,European Union,European Parliament; Council of Europe
Commission Evaluation Report on Machinery Directive,AI in general,Report,,International - EU,5/1/2018 0:00,"<a target=""_blank"" href=""https://ec.europa.eu/docsroom/documents/29222"">Commission Evaluation Report on Machinery Directive</a>",,European Union,European Commission
Commission Evaluation Report on Product Liability Directive,AI in general,Report,,International - EU,5/1/2018 0:00,"<a target=""_blank"" href=""https://ec.europa.eu/docsroom/documents/29221"">Commission Evaluation Report on Product Liability Directive</a>",,European Union,European Commission
European Commission Staff Working Document - Liability for emerging digital technologies (AI),AI in general,Report,,International - EU,4/1/2018 0:00,"<a target=""_blank"" href=""https://eur-lex.europa.eu/legal-content/en/ALL/?uri=CELEX%3A52018SC0137"">European Commission Staff Working Document - Liability for emerging digital technologies (AI)</a>",,European Union,European Commission
The European AI Landscape,AI in general,Report,,International - EU,4/1/2018 0:00,"<a target=""_blank"" href=""https://ec.europa.eu/digital-single-market/en/news/european-artificial-intelligence-landscape"">The European AI Landscape</a>",,European Union,European Commission
Civil Law Rules on Robotics,Robotics,Report,,International - EU,10/1/2016 0:00,"[url=http://www.europarl.europa.eu/RegData/etudes/STUD/2016/571379/IPOL_STU(2016)571379_EN.pdf]Civil Law Rules on Robotics<span style=""color: red""><span style=""color: red""><span style=""color: red""><span style=""color: red"">[/url]</span></span></span></span>",,European Union,European Parliament
Ethical Aspects of Cyber-Physical Systems,Robotics,Report,,International - EU,6/1/2016 0:00,"[url=http://www.europarl.europa.eu/RegData/etudes/STUD/2016/563501/EPRS_STU(2016)563501_EN.pdf]Ethical Aspects of Cyber-Physical Systems<span style=""color: red""><span style=""color: red""><span style=""color: red""><span style=""color: red"">[/url]</span></span></span></span>",,European Union,Science and Technology Options Assessment Agency
Artificial Intelligence - A European Perspective,AI in general,Research,,International - EU,12/1/2018 0:00,"<a target=""_blank"" href=""https://ec.europa.eu/jrc/en/publication/eur-scientific-and-technical-research-reports/artificial-intelligence-european-perspective"">Artificial Intelligence - A European Perspective</a>",,European Union,European Commission - Joint Research Centre
Resolution on Civil Law Rules on Robotics,Robotics,Resolution,,International - EU,2/1/2017 0:00,"<a target=""_blank"" href=""https://oeil.secure.europarl.europa.eu/oeil/popups/printsummary.pdf?id=1477231&l=en&t=D"">Resolution on Civil Law Rules on Robotics</a>",,European Union,European Parliament
When Computers Decide: European Recommendations on Machine-Learned Automated Decision Making,Automated Decision Systems,White paper,,International - EU,3/1/2018 0:00,"<a target=""_blank"" href=""http://www.informatics-europe.org/component/phocadownload/category/10-reports.html?download=74:automated-decision-making-report"">When Computers Decide: European Recommendations on Machine-Learned Automated Decision Making</a>",,European Union; Russia; Switzerland; Norway; Serbia; Turkey,Informatics Europe; EUACM
"City of Espoo's AI Experiment",Public services,Pilot,,City,6/1/2017 0:00,"[url=https://www.espoo.fi/en-US/Espoo_and_Tieto_testing_artificial_intel(121565)]City of Espoo’s AI Experiment<span style=""color: red""><span style=""color: red""><span style=""color: red""><span style=""color: red"">[/url]</span></span></span></span><br>[url=https://www.espoo.fi/en-US/Jobs_and_enterprise/A_dynamic_city/Glimpses_into_the_future/AI_experiment_phase_1_Helping_artificial(133974)]AI Experiment Phase 1 description<span style=""color: red""><span style=""color: red""><span style=""color: red""><span style=""color: red"">[/url]</span></span></span></span><br>[font=Verdana, Arial, Helvetica, sans-serif]<a target=""_blank"" href=""https://www.computerweekly.com/news/252451496/Finnish-city-Espoo-trials-artificial-intelligence-for-community-support"">Computer Weekly coverage of experiment</a><br><a target=""_blank"" href=""https://customers.microsoft.com/en-us/story/city-of-espoo-government-azure"">Microsoft case study about Espoo</a>",,Finland,City of Espoo
AI Ethics Challenge,AI in general,Self-regulation,,National,9/1/2018 0:00,"<a target=""_blank"" href=""https://www.tekoalyaika.fi/en/background/ethics/"">AI Ethics Challenge</a>","The AI Ethics Challenge is an initiative by the Ministry of Economic Affairs and Employment of Finland. It seeks to make Finland a model country for the adoption of ethical AI. The challenge invites Finnish companies to develop principles for ethical AI practice in order to respond to the challenges around safety, bias, trustworthiness, and AI-based discrimination.<br><br><br><br>A 5-step process is offered as a way for developing ethical AI practices.",Finland,AI Finland @ Ministry of Economic Affairs and Employment of Finland
"Toward a Controlled, Useful and Demystified Artificial Intelligence",AI in general,Report,,National,3/1/2017 0:00,"<a target=""_blank"" href=""http://www.senat.fr/rap/r16-464-1/r16-464-1-syn-en.pdf"">Toward a Controlled, Useful and Demystified Artificial Intelligence</a>",,France,Parliamentary Office for Scientific and Technological Assessment
Charlevoix Common Vision for the Future of AI,AI in general,Declaration,,International - G7,6/1/2018 0:00,"<a target=""_blank"" href=""https://g7.gc.ca/wp-content/uploads/2018/06/FutureArtificialIntelligence.pdf"">Charlevoix Common Vision for the Future of AI </a>",,Canada; France; Germany; Italy; Japan; United Kingdom; USA,G7
"G7 Innovation Ministers' Statement on AI",AI in general,Statement,,International - G7,3/1/2018 0:00,"<a target=""_blank"" href=""https://g7.gc.ca/en/g7-presidency/themes/preparing-jobs-future/g7-ministerial-meeting/chairs-summary/annex-b/"">G7 Innovation Ministers' Statement on AI</a>",,Canada; France; Germany; Italy; Japan; United Kingdom; USA,G7
DIN SPEC 92001 - Quality requirements and life cycle management for AI modules,AI in general,Standardisation,,National,3/1/2018 0:00,"<a target=""_blank"" href=""https://www.din.de/en/about-standards/din-spec-en/business-plans/wdc-beuth:din21:288723757?sourceLanguage&destinationLanguage"">DIN SPEC 92001 - Quality requirements and life cycle management for AI modules</a>",,Germany,German Institute for Standardization (DIN)
Position paper on AI and standards,AI in general,Standardisation,,National,9/1/2018 0:00,"<a target=""_blank"" href=""https://www.din.de/blob/306690/74b9d17abcab164b65aff765587a2ace/position-paper-artificial-intelligence-english--data.pdf"">Position paper on AI and standards</a>",,Germany,German Institute for Standardization (DIN)
"Partnership on AI's Basic Tenets",AI in general,Ethics guidelines,,International - Global,9/1/2016 0:00,"<a target=""_blank"" href=""https://www.partnershiponai.org/tenets/"">Partnership on AI's Basic Tenets</a>",,Global,Partnership on AI
